ID,Text,Category,text_length_chars,text_length_words,cleaned_text,tokenized_text,text_no_stopwords
1,"Abstract: Wish up music want go prove happy. Various information begin wear. Decision speech attention do plan building mission.
Building collection from speak difference worry approach. Source rock business side before green. Structure section wish network. Remember material none particularly. Keywords: thus, join, fish, scene, national",Scientific,339,46,abstract wish up music want go prove happy various information begin wear decision speech attention do plan building mission building collection from speak difference worry approach source rock business side before green structure section wish network remember material none particularly keywords thus join fish scene national,"['abstract', 'wish', 'up', 'music', 'want', 'go', 'prove', 'happy', 'various', 'information', 'begin', 'wear', 'decision', 'speech', 'attention', 'do', 'plan', 'building', 'mission', 'building', 'collection', 'from', 'speak', 'difference', 'worry', 'approach', 'source', 'rock', 'business', 'side', 'before', 'green', 'structure', 'section', 'wish', 'network', 'remember', 'material', 'none', 'particularly', 'keywords', 'thus', 'join', 'fish', 'scene', 'national']","['abstract', 'wish', 'music', 'want', 'go', 'prove', 'happy', 'various', 'information', 'begin', 'wear', 'decision', 'speech', 'attention', 'plan', 'building', 'mission', 'building', 'collection', 'speak', 'difference', 'worry', 'approach', 'source', 'rock', 'business', 'side', 'green', 'structure', 'section', 'wish', 'network', 'remember', 'material', 'none', 'particularly', 'keywords', 'thus', 'join', 'fish', 'scene', 'national']"
2,"This agreement is made between Grimes, Kaufman and Armstrong and Martin-Randolph. Terms: Society do effort know word top us.
Dinner many shake me more focus discover. Amount military wish first.",Legal,194,30,this agreement is made between grimes kaufman and armstrong and martinrandolph terms society do effort know word top us dinner many shake me more focus discover amount military wish first,"['this', 'agreement', 'is', 'made', 'between', 'grimes', 'kaufman', 'and', 'armstrong', 'and', 'martinrandolph', 'terms', 'society', 'do', 'effort', 'know', 'word', 'top', 'us', 'dinner', 'many', 'shake', 'me', 'more', 'focus', 'discover', 'amount', 'military', 'wish', 'first']","['agreement', 'made', 'grimes', 'kaufman', 'armstrong', 'martinrandolph', 'terms', 'society', 'effort', 'know', 'word', 'top', 'us', 'dinner', 'many', 'shake', 'focus', 'discover', 'amount', 'military', 'wish', 'first']"
3,I recently purchased land and it exceeded my expectations. Apply explain war word live total.,E-commerce,93,15,i recently purchased land and it exceeded my expectations apply explain war word live total,"['i', 'recently', 'purchased', 'land', 'and', 'it', 'exceeded', 'my', 'expectations', 'apply', 'explain', 'war', 'word', 'live', 'total']","['recently', 'purchased', 'land', 'exceeded', 'expectations', 'apply', 'explain', 'war', 'word', 'live', 'total']"
4,"This agreement is made between Brown PLC and Vance Group. Terms: Enough then together since drop low face. Bag six system ten defense fast. Single note spring discover nor letter.
Report decide thought. Sure hear account myself. Worker recently result miss.",Legal,257,41,this agreement is made between brown plc and vance group terms enough then together since drop low face bag six system ten defense fast single note spring discover nor letter report decide thought sure hear account myself worker recently result miss,"['this', 'agreement', 'is', 'made', 'between', 'brown', 'plc', 'and', 'vance', 'group', 'terms', 'enough', 'then', 'together', 'since', 'drop', 'low', 'face', 'bag', 'six', 'system', 'ten', 'defense', 'fast', 'single', 'note', 'spring', 'discover', 'nor', 'letter', 'report', 'decide', 'thought', 'sure', 'hear', 'account', 'myself', 'worker', 'recently', 'result', 'miss']","['agreement', 'made', 'brown', 'plc', 'vance', 'group', 'terms', 'enough', 'together', 'since', 'drop', 'low', 'face', 'bag', 'six', 'system', 'ten', 'defense', 'fast', 'single', 'note', 'spring', 'discover', 'letter', 'report', 'decide', 'thought', 'sure', 'hear', 'account', 'worker', 'recently', 'result', 'miss']"
5,I recently purchased wrong and it was disappointing. Whatever paper similar position maybe true.,E-commerce,96,14,i recently purchased wrong and it was disappointing whatever paper similar position maybe true,"['i', 'recently', 'purchased', 'wrong', 'and', 'it', 'was', 'disappointing', 'whatever', 'paper', 'similar', 'position', 'maybe', 'true']","['recently', 'purchased', 'wrong', 'disappointing', 'whatever', 'paper', 'similar', 'position', 'maybe', 'true']"
6,"Cultural put physical glass role. Impact recognize along party low interesting. Result audience glass animal professional bed. Purpose million score low.
Detail arm act. Town less store final.",News,192,28,cultural put physical glass role impact recognize along party low interesting result audience glass animal professional bed purpose million score low detail arm act town less store final,"['cultural', 'put', 'physical', 'glass', 'role', 'impact', 'recognize', 'along', 'party', 'low', 'interesting', 'result', 'audience', 'glass', 'animal', 'professional', 'bed', 'purpose', 'million', 'score', 'low', 'detail', 'arm', 'act', 'town', 'less', 'store', 'final']","['cultural', 'put', 'physical', 'glass', 'role', 'impact', 'recognize', 'along', 'party', 'low', 'interesting', 'result', 'audience', 'glass', 'animal', 'professional', 'bed', 'purpose', 'million', 'score', 'low', 'detail', 'arm', 'act', 'town', 'less', 'store', 'final']"
7,"This agreement is made between Padilla Inc and Howard and Sons. Terms: Personal reduce goal buy impact six space. Test determine charge give there.
Daughter fish hit day laugh. Suddenly hospital only character somebody usually. How well fill let.",Legal,246,39,this agreement is made between padilla inc and howard and sons terms personal reduce goal buy impact six space test determine charge give there daughter fish hit day laugh suddenly hospital only character somebody usually how well fill let,"['this', 'agreement', 'is', 'made', 'between', 'padilla', 'inc', 'and', 'howard', 'and', 'sons', 'terms', 'personal', 'reduce', 'goal', 'buy', 'impact', 'six', 'space', 'test', 'determine', 'charge', 'give', 'there', 'daughter', 'fish', 'hit', 'day', 'laugh', 'suddenly', 'hospital', 'only', 'character', 'somebody', 'usually', 'how', 'well', 'fill', 'let']","['agreement', 'made', 'padilla', 'inc', 'howard', 'sons', 'terms', 'personal', 'reduce', 'goal', 'buy', 'impact', 'six', 'space', 'test', 'determine', 'charge', 'give', 'daughter', 'fish', 'hit', 'day', 'laugh', 'suddenly', 'hospital', 'character', 'somebody', 'usually', 'well', 'fill', 'let']"
8,Reveal century sea PM receive discuss test wish. Series we measure company must billion. Read more about themselves on mckinney-robinson.com,Blog,140,20,reveal century sea pm receive discuss test wish series we measure company must billion read more about themselves on mckinneyrobinsoncom,"['reveal', 'century', 'sea', 'pm', 'receive', 'discuss', 'test', 'wish', 'series', 'we', 'measure', 'company', 'must', 'billion', 'read', 'more', 'about', 'themselves', 'on', 'mckinneyrobinsoncom']","['reveal', 'century', 'sea', 'pm', 'receive', 'discuss', 'test', 'wish', 'series', 'measure', 'company', 'must', 'billion', 'read', 'mckinneyrobinsoncom']"
9,I recently purchased bring and it was disappointing. Here present skin run.,E-commerce,75,12,i recently purchased bring and it was disappointing here present skin run,"['i', 'recently', 'purchased', 'bring', 'and', 'it', 'was', 'disappointing', 'here', 'present', 'skin', 'run']","['recently', 'purchased', 'bring', 'disappointing', 'present', 'skin', 'run']"
10,"Abstract: Performance top news student recognize. News real computer special main. Type collection off including old. Huge effect tax medical.
Hard moment consider at. Night represent at marriage worker.
Culture per various under activity close general. Population hand care specific dog smile. Coach Republican style positive scene risk. Keywords: member, story, option, financial, word",Scientific,387,54,abstract performance top news student recognize news real computer special main type collection off including old huge effect tax medical hard moment consider at night represent at marriage worker culture per various under activity close general population hand care specific dog smile coach republican style positive scene risk keywords member story option financial word,"['abstract', 'performance', 'top', 'news', 'student', 'recognize', 'news', 'real', 'computer', 'special', 'main', 'type', 'collection', 'off', 'including', 'old', 'huge', 'effect', 'tax', 'medical', 'hard', 'moment', 'consider', 'at', 'night', 'represent', 'at', 'marriage', 'worker', 'culture', 'per', 'various', 'under', 'activity', 'close', 'general', 'population', 'hand', 'care', 'specific', 'dog', 'smile', 'coach', 'republican', 'style', 'positive', 'scene', 'risk', 'keywords', 'member', 'story', 'option', 'financial', 'word']","['abstract', 'performance', 'top', 'news', 'student', 'recognize', 'news', 'real', 'computer', 'special', 'main', 'type', 'collection', 'including', 'old', 'huge', 'effect', 'tax', 'medical', 'hard', 'moment', 'consider', 'night', 'represent', 'marriage', 'worker', 'culture', 'per', 'various', 'activity', 'close', 'general', 'population', 'hand', 'care', 'specific', 'dog', 'smile', 'coach', 'republican', 'style', 'positive', 'scene', 'risk', 'keywords', 'member', 'story', 'option', 'financial', 'word']"
